股票代码,股票简称,概念名称,行业概念,事件概念,交易概念
603182.SH,嘉华股份,"核准制次新股,大豆,新股与次新股",大豆,,"核准制次新股,新股与次新股"
301349.SZ,信德新材,"锂电池,新股与次新股,注册制次新股,融资融券",锂电池,,"新股与次新股,注册制次新股,融资融券"
688114.SH,华大智造,"融资融券,医疗器械,新股与次新股,科创次新股",医疗器械,,"新股与次新股,科创次新股,融资融券"
301339.SZ,通行宝,"智慧城市,新股与次新股,注册制次新股,融资融券",,智慧城市,"新股与次新股,注册制次新股,融资融券"
831152.BJ,昆工科技,"储能,新股与次新股",储能,,新股与次新股
001283.SZ,豪鹏科技,"锂电池,人民币贬值受益,消费电子,核准制次新股,动力电池回收,粤港澳大湾区,新股与次新股","锂电池,动力电池回收,消费电子",,"核准制次新股,人民币贬值受益,新股与次新股"
839790.BJ,联迪信息,新股与次新股,,,新股与次新股
301321.SZ,翰博高新,"虚拟现实,华为,OLED,消费电子,MiniLED,融资融券,新股与次新股,注册制次新股","虚拟现实,MiniLED,OLED,消费电子",华为,"新股与次新股,注册制次新股,融资融券"
301328.SZ,维峰电子,"光伏,融资融券,新能源汽车,新股与次新股,注册制次新股","光伏,新能源汽车",,"新股与次新股,注册制次新股,融资融券"
301231.SZ,荣信文化,"三胎,融资融券,文化传媒,新股与次新股,注册制次新股",文化传媒,三胎,"新股与次新股,注册制次新股,融资融券"
301276.SZ,嘉曼服饰,"三胎,新股与次新股,注册制次新股,融资融券",,三胎,"新股与次新股,注册制次新股,融资融券"
688401.SH,路维光电,"半年报预增,专精特新,科创次新股,PCB,融资融券,第三代半导体,新股与次新股","PCB,第三代半导体",专精特新,"半年报预增,新股与次新股,科创次新股,融资融券"
301330.SZ,熵基科技,"充电桩,人脸识别,人民币贬值受益,电子身份证,机器人,跨境电商,机器视觉,融资融券,安防,集成电路,新股与次新股,注册制次新股","充电桩,人脸识别,机器人,跨境电商,机器视觉,安防,集成电路",电子身份证,"人民币贬值受益,新股与次新股,注册制次新股,融资融券"
