POS,market,sec_code,sec_name,now_price,chg,所属概念,概念个数0#,投资逻辑,主营关键字,所属通达信行业
1,0,300287,飞利信,4.06,-3.33,人工智能;信息安全;边缘计算;超清视频;大数据;富媒体;食品安全;时空数据;Web3概念;ChatGPT;安防服务;数据中心;智慧城市;智能电网;数据要素;虚拟现实;5G概念;雄安新区;CPO概念;物联网;芯片;量子科技;元宇宙;卫星导航;东数西算;智慧政务;信创;职业教育;MCU芯片;云计算;国防军工,31,国内领先的智能会议系统整体解决方案提供商,物联网平台、智能会议系统、数据软件服务,@通达信行业@
2,0,300663,科蓝软件,14.77,-4.28,边缘计算;含可转债;小米概念;数据要素;数据确权;信创;区块链;元宇宙;互联金融;大数据;华为鸿蒙;百度概念;ChatGPT;智能机器;创投概念;电子身份;智慧城市;腾讯概念;信息安全;物联网;东数西算;国产软件;人工智能;数据中心;跨境支付;数字货币;云计算;Web3概念;阿里概念,29,专业化、科技化的国内一流金融行业整体解决方案供应商,金融软件开发,@通达信行业@
3,0,300166,东方国信,12.28,-5.90,机器视觉;数字水印;信创;智慧城市;大数据;数字货币;东数西算;智慧政务;养老概念;物联网;数字孪生;边缘计算;碳中和;数据中心;国产软件;区块链;虚拟电厂;虚拟现实;5G概念;电子身份;数据要素;ChatGPT;人工智能;工业互联;算力概念;乡村振兴;Web3概念;AIGC概念;云计算,29,专注大数据、云计算等领域核心技术的高科技软件企业,应用软件开发,@通达信行业@
4,0,002197,证通电子,11.22,-2.77,富媒体;垃圾分类;充电桩;数字货币;数据中心;智慧政务;信创;智慧城市;NFT概念;人工智能;腾讯概念;职业教育;数字水印;绿色照明;信息安全;互联金融;华为鸿蒙;算力概念;抖音概念;云计算;智能机器;百度概念;ChatGPT;区块链;东数西算;粤港澳;乡村振兴,27,国内领先的金融电子支付设备厂商之一,金融电子,@通达信行业@
5,1,600100,同方股份,8.62,-8.30,PPP概念;智能机器;操作系统;机器视觉;大数据;算力概念;数据要素;ChatGPT;物联网;创投概念;区块链;央企改革;网络游戏;绿色照明;信息安全;绿色建筑;国防军工;云计算;节能;智慧城市;智能家居;人工智能;养老概念;信创;地热能;安防服务,26,中核集团科研院所和清华大学科技成果转化授权承接平台,服务器、PC,@通达信行业@
6,0,002642,荣联科技,7.12,-4.17,基因概念;水利建设;5G概念;物联网;人工智能;国产软件;智慧政务;智能交通;信息安全;碳中和;数字孪生;边缘计算;一带一路;智慧城市;百度概念;东数西算;数据中心;ChatGPT;云计算;虚拟现实;国资云;大数据;工业互联;信创;智能医疗,25,国内领先的企业云计算和大数据服务提供商,系统集成,@通达信行业@
7,0,300730,科创信息,13.83,-7.37,远程办公;数据中心;国产软件;智能医疗;物联网;边缘计算;云计算;工业互联;智慧政务;数据要素;信创;人工智能;网络直播;百度概念;区块链;大数据;电子身份;数字孪生;机器视觉;算力概念;东数西算;信息安全;无人驾驶;数字货币;智慧城市,25,国内智慧政务及智慧企业领域的信息化综合服务提供商,政务软件开发,@通达信行业@
8,0,300212,易华录,38.10,-7.07,安防服务;数据要素;雄安新区;一带一路;智能交通;乡村振兴;PPP概念;算力概念;阿里概念;人工智能;云计算;信创;东数西算;养老概念;大数据;数据确权;智慧城市;数字孪生;百度概念;边缘计算;国资云;信息安全;物联网;数据中心;央企改革,25,数据湖基建龙头,交通管理,@通达信行业@
9,0,002230,科大讯飞,77.60,-3.96,智能穿戴;国产软件;东数西算;ChatGPT;通达信88;量子科技;智能机器;人脑工程;家庭医生;英伟达;消费电子;智能家居;安防服务;无线耳机;机器视觉;AIGC概念;智慧城市;智能医疗;元宇宙;人工智能;工业互联;数字孪生;算力概念;大数据;云计算,25,我国智能语音及人工智能领域的技术引领者和龙头企业,语音系统,@通达信行业@
10,1,603019,中科曙光,54.66,-8.41,量子科技;腾讯概念;数据中心;东数西算;信创;区块链;百度概念;边缘计算;国产软件;国资云;工业互联;Web3概念;大数据;信息安全;操作系统;人工智能;中特估;雄安新区;算力概念;芯片;央企改革;数字孪生;创投概念;云计算;基因概念,25,国产中高端服务器龙头,服务器、存储产品,@通达信行业@
