股票代码,股票简称,行业概念,事件概念,交易概念
603182.SH,嘉华股份,大豆,,"核准制次新股,新股与次新股"
301349.SZ,信德新材,锂电池,,"注册制次新股,新股与次新股,融资融券,转融券标的"
688114.SH,华大智造,医疗器械,,"科创次新股,新股与次新股,融资融券,转融券标的"
301339.SZ,通行宝,"ETC,智能交通","地方国资改革,智慧城市","注册制次新股,新股与次新股,融资融券,转融券标的"
831152.BJ,昆工科技,储能,,新股与次新股
001283.SZ,豪鹏科技,"镍氢电池,锂电制造,动力电池回收,锂电池,消费电子",外贸受益,"核准制次新股,新股与次新股,人民币贬值受益"
839790.BJ,联迪信息,,,新股与次新股
301321.SZ,翰博高新,"MiniLED,消费电子,虚拟现实,OLED",华为,"注册制次新股,新股与次新股,融资融券,转融券标的"
301328.SZ,维峰电子,"新能源汽车,光伏",,"注册制次新股,新股与次新股,融资融券,转融券标的"
301231.SZ,荣信文化,文化传媒,三胎,"注册制次新股,新股与次新股,融资融券,转融券标的"
301276.SZ,嘉曼服饰,,三胎,"注册制次新股,新股与次新股,融资融券,转融券标的"
688401.SH,路维光电,"第三代半导体,PCB",,"融资融券,新股与次新股,半年报预增,转融券标的,科创次新股"
301330.SZ,熵基科技,人脸识别,,"融资融券,注册制次新股,新股与次新股,转融券标的"
301021.SZ,英诺激光,"光纤,集成电路,激光,高端装备,激光器",国产替代,"融资融券,转融券标的"
300856.SZ,科思股份,化妆护肤品,,"送转填权,人民币贬值受益,高送转预期"
300421.SZ,力星股份,"新能源汽车,风电","蔚来汽车,理想汽车",创业板重组松绑
301312.SZ,智立方,"元宇宙,机器视觉,机器人,高端装备,智能制造","比亚迪,工业4.0,苹果,华为,专精特新","融资融券,新股与次新股,转融券标的,人民币贬值受益,注册制次新股"
301278.SZ,快可电子,"储能,光伏建筑一体化,光伏",,"融资融券,注册制次新股,新股与次新股,转融券标的"
688071.SH,华依科技,"燃料电池,新能源汽车,高端装备","比亚迪,专精特新","融资融券,转融券标的"
688398.SH,赛特新材,"新材料,冷链物流",专精特新,"融资融券,转融券标的"
300982.SZ,苏文电能,"充电桩,智能电网,储能,工业互联网,能源互联网,光伏",,"融资融券,深股通,转融券标的"
300382.SZ,斯莱克,"锂电池,机器人,新能源汽车,C2M,工业机器人",抖音小店,"深股通,半年报预增"
300806.SZ,斯迪克,"消费电子,新材料,无线耳机,石墨烯","特斯拉,富士康,华为,专精特新","送转填权,深股通"
688630.SH,芯碁微装,"光刻胶,OLED,高端装备",专精特新,"融资融券,转融券标的"
688001.SH,华兴源创,"OLED,无线耳机,集成电路,5G,消费电子","苹果,特斯拉","融资融券,转融券标的"
300219.SZ,鸿利智汇,"柔性屏,广告营销,MiniLED,文化传媒,汽车电子,虚拟现实,互联网金融,车联网,节能照明,新能源汽车,VR设备","比亚迪,地方国资改革","富时罗素,富时罗素股,深股通"
688020.SH,方邦股份,"稀土永磁,5G","华为,专精特新","融资融券,转融券标的"
301051.SZ,信濠光电,,,"融资融券,新股与次新股,养老金持股,转融券标的,注册制次新股,深股通"
002630.SZ,华西能源,"超超临界发电,储能,固废处理,新材料,天然气锅炉,无人驾驶,垃圾发电,生物质能,绿色电力,节能环保","碳中和,PPP","参股民营银行,参股银行"
002662.SZ,京威股份,"储能,燃料电池,新能源整车,新材料,锂电池,新能源汽车","恒大,理想汽车,小鹏汽车,蔚来汽车,特斯拉","融资融券,标普道琼斯A股,转融券标的,富时罗素股,富时罗素"
002564.SZ,天沃科技,"煤化工,氢能源,人造太阳,特高压,核电,高端装备,光伏,风电","碳中和,油品升级,地方国资改革,一带一路,军民融合,军工",
000605.SZ,渤海股份,"REITs,固废处理,污水处理","地方国资改革,PPP",
002363.SZ,隆基机械,新能源汽车,"比亚迪,工业4.0,小鹏汽车,华为,军工,特斯拉,华为汽车",
002221.SZ,东华能源,"氢能源,燃料电池,聚丙烯,液化气,丙烯,天然气,碳纤维,口罩,新能源,丙烷脱氢,页岩气","俄乌冲突,贸易战受益股,油品升级,循环经济,西气东输","深股通,融资融券,富时罗素股,转融券标的"
000045.SZ,深纺织A,"OLED,超清视频,OLED材料",地方国资改革,
600774.SH,汉商集团,"医疗器械,创新药,新材料,幽门螺杆菌,辅助生殖,中医药,医美",新零售,
